備考_links,section,備考,品名,出し方
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,編み針,家庭ごみ
,あ,,アルバム,家庭ごみ
,あ,,アルミかん（飲食物用）,かん・びん
,あ,,アルミはく（台所用）,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ,よく洗って　小物金属 回収ボックス へ,アルミトレイ,小物金属
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ,小物金属 回収ボックス へ,泡だて器,小物金属
,あ,,あんか,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ,透明のビニール袋に入れて　小物金属 回収ボックス へ,安全ピン,小物金属
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ,事前申し込み制,アンテナ（テレビ用）,粗大ごみ
,あ,指定袋に入らない大きさのものは粗大ごみ,アンテナ（テレビ用以外のもの）,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ,事前申し込み制,アンプ,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い,事前申し込み制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,衣装ケース,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い,事前申し込み制,いす,粗大ごみ
,い,新聞紙などに包んで 指定袋に入らない大きさのものは粗大ごみ,板ガラス,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],い,小物金属 回収ボックス へ 30センチを超えるものは粗大ごみ,板（金属製）,小物金属
,い,指定袋に入らない大きさのものは粗大ごみ,板（金属製以外）,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い,事前申し込み制,一輪車,粗大ごみ
,い,できるだけ販売店へ,一升びん,かん・びん
,い,中身を使い切って,一斗缶,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い,事前申し込み制,井戸ポンプ（家庭用）,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い,事前申し込み制,犬小屋,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],い,小型電子機器 回収ボックス へ,イヤホン,小型電子機器
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],い,古着 回収ボックス へ,衣類,古着
,い,（注）販売店などに引き取りを依頼,衣類乾燥機（ドラム式）,市が収集しないもの
,い,,入れ歯,家庭ごみ
,い,できるだけ販売店へ（市役所・区役所にも回収箱があります）,インクカートリッジ,家庭ごみ
,い,,インスタントめんの袋,プラスチック
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],う,事前申し込み制,ウインドウファン（送風機）,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],う,事前申し込み制,植木棚,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0043.html'],う,（参考）「 緑のリサイクル 」,植木の枝,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],う,小物金属 回収ボックス,植木ばさみ,小物金属
,う,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,植木鉢,家庭ごみ
,う,プラマークがついてるものはプラスチック PETマークがついてるものはペットボトル,ウォーターサーバー用ボトル（販売店等の引取がない場合）,右記の通り
,う,,うちわ,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],う,小型電子機器 回収ボックス へ,腕時計,小型電子機器
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],う,事前申し込み制,乳母車（ベビーカー）,粗大ごみ
,う,,梅酒のびん,かん・びん
,え,,エアークッション（梱包材）,プラスチック
,え,（注）販売店などに引き取りを依頼,エアコン,市が収集しないもの
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],え,事前申し込み制,映写機,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],え,中身を使い切って　小物金属 回収ボックス へ,絵の具のチューブ（金属製）,小物金属
,え,中身を使い切って,絵の具のチューブ（プラ製）,プラスチック
,え,,MD,家庭ごみ
"['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html', 'https://www.city.kitakyushu.lg.jp/kankyou/00800208.html']",え,事前申し込み制 小型（概ね25センチ×8.5センチ以内）のものは、小型電子機器 回収ボックス へ,MDレコーダー,粗大ごみ
,え,,LED蛍光灯,家庭ごみ
,え,,LD,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],え,事前申し込み制,LDプレーヤー,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html'],え,（注）販売店に相談　（参考）「 市が収集しないもの 」,LPガスボンベ,市が収集しないもの
,え,,LPレコード,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],え,事前申し込み制,エレキギター,粗大ごみ
,え,,鉛筆削り,家庭ごみ
,お,（注）専門の処理業者に依頼,オイル類（食用のものを除く）,市が収集しないもの
,お,指定袋に入らない大きさのものは粗大ごみ,オイル缶（中身のないもの）,家庭ごみ
,お,（注）専門の処理業者に依頼,オイルヒーター,市が収集しないもの
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お,事前申し込み制,応接セット,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お,事前申し込み制,オーディオラック,粗大ごみ
,お,・購入店に相談 ・「二輪車リサイクルシステム」（バイクメーカーの取り組み） ・二輪車リサイクルコールセンター：050-3000-0727に相談（注）自転車やバイク部品のみは対象外,オートバイ,市が収集しないもの
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お,事前申し込み制,オーブン,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お,事前申し込み制,オーブンレンジ,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お,事前申し込み制,オーブントースター,粗大ごみ
,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,桶（おけ）,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],お,小物金属 回収ボックス へ、金属製以外のものは、家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,おたま,小物金属
,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,おはじき,家庭ごみ
,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,おひつ,家庭ごみ
,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,汚物入れ,家庭ごみ
,お,金属製のものは、小物金属 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,おぼん,家庭ごみ
,お,指定袋に入らない大きさのものは、粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,おまる,家庭ごみ
,お,汚物を取り除いて,おむつ,家庭ごみ
,お,指定袋に入らない大きさのものは、粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,おもちゃ類,家庭ごみ
,お,,折込みチラシ（新聞）,古紙
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お,事前申し込み制,オルガン,粗大ごみ
,お,,オルゴール,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],お,小物金属 回収ボックス へ、金属製以外のものは、家庭ごみ,おろしがね（おろし器）,小物金属
,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,おわん,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お,事前申し込み制,温水洗浄機能付便座,粗大ごみ
,お,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ 水銀温度計は区役所・出張所の水銀体温計などの回収ボックスへ,温度計（水銀温度計を除く）,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お,事前申し込み制,温風ヒーター,粗大ごみ
