品名,section,備考,備考_links,出し方
ブラインド,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ぶら下がり健康器,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ブラシ,ふ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
プラスチック製収納箱,ふ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
プラモデル,ふ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ブランコ,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
プランター,ふ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ブリキ製品,ふ,小物金属 回収ボックス へ 30センチを超えるものは粗大ごみ,['/contents/00800208.html'],小物金属
プリンター,ふ,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
プリンターのインクカートリッジ,ふ,できるだけ販売店へ（市役所・区役所にも回収箱があります）,,家庭ごみ
ブルーシート,ふ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
古着,ふ,古着 回収ボックス へ,['/contents/00800208.html'],古着
プレーヤー,ふ,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
風呂おけ（浴槽）,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
風呂釜,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
風呂ふた,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ブロック,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
フロッピーディスク,ふ,,,家庭ごみ
プロパンガスボンベ,ふ,（注）販売店に相談,,市が収集しないもの
文鎮（ぶんちん）,ふ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
噴霧器,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ヘアピン,へ,小物金属 回収ボックス へ 透明のビニール袋に入れて,['/contents/00800208.html'],小物金属
ベッド,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ベッドマット（スプリングマット含む）,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ペットの運搬ケース（ケージ）,へ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
ペットの小屋,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ペットの亡き骸,へ,動物愛護センターでも受付（電話093-581-1800）,,家庭ごみ
ペットのふん,へ,,,家庭ごみ
ペットフードかん,へ,油と汚れをよく落として,,かん・びん
ペット用の檻（おり）,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ペット用トイレ,へ,,,家庭ごみ
ペットボトル,へ,,,ペットボトル
ペットボトルのふた,へ,,,プラスチック
ヘッドホン,へ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
ベニヤ板,へ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
ベビーカー（乳母車）,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ベビーダンス,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ベビーチェアー,へ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ベビーバス,へ,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/924_10259.html'],粗大ごみ
ベビー布団,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ベビーベッド,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ヘルメット,へ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
便器（温水洗浄機能付便座含む）,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ペンキ,へ,（注）専門の処理業者に依頼,,市が収集しないもの
ペンキ（スプレー缶）,へ,必ず中身を使い切ってから穴をあけずに,,家庭ごみ
ペンキ缶（中身のないもの）,へ,,,家庭ごみ
ペンチ,へ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
弁当箱,へ,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
弁当の容器（プラ製・コンビニなどの弁当容器）,へ,,,プラスチック
ボアシーツ,ほ,,,家庭ごみ
ホイールキャップ,ほ,,,家庭ごみ
望遠鏡,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ほうき,ほ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
包装紙,ほ,古紙 回収ボックス へ セロハンテープなど紙以外のものは除いてから,['/contents/00800208.html'],古紙
包装用フィルム,ほ,,,プラスチック
防虫剤,ほ,,,家庭ごみ
防虫剤容器,ほ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
包丁,ほ,新聞紙などに包んで,,家庭ごみ
防腐剤,ほ,,,家庭ごみ
ボウル（台所用品、金属製）,ほ,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],小物金属
ホース,ほ,,,家庭ごみ
ホースリール,ほ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
ポータブルプレーヤー（テレビ、ラジオ、CD、MP3など）,ほ,小型電子機器 回収ボックス へ,['/contents/00800208.html'],小型電子機器
ボート（ゴムボートを除く）,ほ,（注）日本マリン事業協会：03-5542-1202に相談,,市が収集しないもの
ホームベーカリー,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ホームラック,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ボウリングの球,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ボールペン,ほ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ホーロー鍋,ほ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
歩行器,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
保温剤・保冷剤,ほ,,,家庭ごみ
ポスター,ほ,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
ボタン,ほ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ボタン電池,ほ,電池類 回収ボックス へ できるだけ電器店などの回収ボックスへ,['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],電池類
ホッチキス（針も含む）,ほ,小物金属 回収ボックス へ 針のみの場合は透明のビニール袋に入れて,['/contents/00800208.html'],小物金属
ポット（電気ポット含む）,ほ,,,家庭ごみ
ホットカーペット,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ホットプレート,ほ,事前申込制 30センチ以下で金属製のものは小物金属 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
ほ乳びん,ほ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ポリタンク,ほ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ポリ袋（プラマーク付き）,ほ,,,プラスチック
ポリ容器,ほ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
本,ほ,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
本立て,ほ,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ,['/contents/00800208.html'],小物金属
本棚,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ポンプ（ポリタンク用）,ほ,,,プラスチック
ポンプ（井戸用）,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ボンボンベッド（サマーベッド）,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
