品名,section,備考,備考_links,出し方
プリンターのインクカートリッジ,ふ,できるだけ販売店へ（市役所・区役所にも回収箱があります）,,家庭ごみ
ブルーシート,ふ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
古着,ふ,古着 回収ボックス へ,['/contents/00800208.html'],古着
プレーヤー,ふ,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
風呂おけ（浴槽）,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
風呂釜,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
風呂ふた,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ブロック,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
フロッピーディスク,ふ,,,家庭ごみ
プロパンガスボンベ,ふ,（注）販売店に相談,,市が収集しないもの
文鎮（ぶんちん）,ふ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
噴霧器,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ヘアピン,へ,小物金属 回収ボックス へ 透明のビニール袋に入れて,['/contents/00800208.html'],小物金属
ベッド,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ベッドマット（スプリングマット含む）,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ペットの運搬ケース（ケージ）,へ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
ペットの小屋,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ペットの亡き骸,へ,動物愛護センターでも受付（電話093-581-1800）,,家庭ごみ
ペットのふん,へ,,,家庭ごみ
ペットフードかん,へ,油と汚れをよく落として,,かん・びん
ペット用の檻（おり）,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ペット用トイレ,へ,,,家庭ごみ
ペットボトル,へ,,,ペットボトル
ペットボトルのふた,へ,,,プラスチック
ヘッドホン,へ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
ベニヤ板,へ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
ベビーカー（乳母車）,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ベビーダンス,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ベビーチェアー,へ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ベビーバス,へ,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/924_10259.html'],粗大ごみ
ベビー布団,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ベビーベッド,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ヘルメット,へ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
便器（温水洗浄機能付便座含む）,へ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ペンキ,へ,（注）専門の処理業者に依頼,,市が収集しないもの
ペンキ（スプレー缶）,へ,必ず中身を使い切ってから穴をあけずに,,家庭ごみ
ペンキ缶（中身のないもの）,へ,,,家庭ごみ
ペンチ,へ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
弁当箱,へ,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
弁当の容器（プラ製・コンビニなどの弁当容器）,へ,,,プラスチック
ボアシーツ,ほ,,,家庭ごみ
ホイールキャップ,ほ,,,家庭ごみ
望遠鏡,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ほうき,ほ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
包装紙,ほ,古紙 回収ボックス へ セロハンテープなど紙以外のものは除いてから,['/contents/00800208.html'],古紙
包装用フィルム,ほ,,,プラスチック
防虫剤,ほ,,,家庭ごみ
防虫剤容器,ほ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
包丁,ほ,新聞紙などに包んで,,家庭ごみ
防腐剤,ほ,,,家庭ごみ
ボウル（台所用品、金属製）,ほ,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],小物金属
ホース,ほ,,,家庭ごみ
ホースリール,ほ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
ポータブルプレーヤー（テレビ、ラジオ、CD、MP3など）,ほ,小型電子機器 回収ボックス へ,['/contents/00800208.html'],小型電子機器
ボート（ゴムボートを除く）,ほ,（注）日本マリン事業協会：03-5542-1202に相談,,市が収集しないもの
ホームベーカリー,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ホームラック,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ボウリングの球,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ボールペン,ほ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ホーロー鍋,ほ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
歩行器,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
保温剤・保冷剤,ほ,,,家庭ごみ
ポスター,ほ,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
ボタン,ほ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ボタン電池,ほ,電池類 回収ボックス へ できるだけ電器店などの回収ボックスへ,['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],電池類
ホッチキス（針も含む）,ほ,小物金属 回収ボックス へ 針のみの場合は透明のビニール袋に入れて,['/contents/00800208.html'],小物金属
ポット（電気ポット含む）,ほ,,,家庭ごみ
ホットカーペット,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ホットプレート,ほ,事前申込制 30センチ以下で金属製のものは小物金属 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
ほ乳びん,ほ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ポリタンク,ほ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ポリ袋（プラマーク付き）,ほ,,,プラスチック
ポリ容器,ほ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
本,ほ,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
本立て,ほ,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ,['/contents/00800208.html'],小物金属
本棚,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ポンプ（ポリタンク用）,ほ,,,プラスチック
ポンプ（井戸用）,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ボンボンベッド（サマーベッド）,ほ,事前申込制,['/contents/924_10259.html'],粗大ごみ
アイスピック,あ,新聞紙などに包んで,,家庭ごみ
アイロン,あ,金属製のものは小物金属 回収ボックス へ 電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html', 'https://www.city.kitakyushu.lg.jp/kankyou/00800208.html']",家庭ごみ
アイロン台,あ,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
アコーディオン,あ,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
アコーディオンカーテン,あ,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
アダプター（電源用）,あ,小型電子機器 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小型電子機器
圧力鍋,あ,小物金属 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
油（食用油）,あ,布や紙にしみこませるか固形化して できるだけペットボトルに入れてスーパーなどの食用油 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],家庭ごみ
油（機械用）,あ,（注）専門の処理業者に依頼,,市が収集しないもの
油こし器（金属製）,あ,,,家庭ごみ
油差し,あ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
油びん,あ,油をよく落として,,かん・びん
油よけ（アルミ製）,あ,,,家庭ごみ
雨具（カッパ）,あ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
雨戸,あ,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
編み機,あ,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
網（バーベキュー用）,あ,小物金属 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
網（昆虫採集用など）,あ,,,家庭ごみ
網戸,あ,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
編み針,あ,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],家庭ごみ
アルバム,あ,,,家庭ごみ
アルミかん（飲食物用）,あ,,,かん・びん
アルミはく（台所用）,あ,,,家庭ごみ
アルミトレイ,あ,よく洗って　小物金属 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
泡だて器,あ,小物金属 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
あんか,あ,,,家庭ごみ
安全ピン,あ,透明のビニール袋に入れて　小物金属 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
アンテナ（テレビ用）,あ,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
アンテナ（テレビ用以外のもの）,あ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
アンプ,あ,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
衣装ケース,い,事前申し込み制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
いす,い,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
板ガラス,い,新聞紙などに包んで 指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
板（金属製）,い,小物金属 回収ボックス へ 30センチを超えるものは粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
板（金属製以外）,い,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
一輪車,い,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
一升びん,い,できるだけ販売店へ,,かん・びん
一斗缶,い,中身を使い切って,,家庭ごみ
井戸ポンプ（家庭用）,い,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
犬小屋,い,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
イヤホン,い,小型電子機器 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小型電子機器
衣類,い,古着 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],古着
衣類乾燥機（ドラム式）,い,（注）販売店などに引き取りを依頼,,市が収集しないもの
入れ歯,い,,,家庭ごみ
インクカートリッジ,い,できるだけ販売店へ（市役所・区役所にも回収箱があります）,,家庭ごみ
インスタントめんの袋,い,,,プラスチック
ウインドウファン（送風機）,う,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
植木棚,う,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
植木の枝,う,（参考）「 緑のリサイクル 」,['https://www.city.kitakyushu.lg.jp/kankyou/file_0043.html'],家庭ごみ
植木ばさみ,う,小物金属 回収ボックス,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
植木鉢,う,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ウォーターサーバー用ボトル（販売店等の引取がない場合）,う,プラマークがついてるものはプラスチック PETマークがついてるものはペットボトル,,右記の通り
うちわ,う,,,家庭ごみ
腕時計,う,小型電子機器 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小型電子機器
乳母車（ベビーカー）,う,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
梅酒のびん,う,,,かん・びん
エアークッション（梱包材）,え,,,プラスチック
エアコン,え,（注）販売店などに引き取りを依頼,,市が収集しないもの
映写機,え,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
絵の具のチューブ（金属製）,え,中身を使い切って　小物金属 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
絵の具のチューブ（プラ製）,え,中身を使い切って,,プラスチック
MD,え,,,家庭ごみ
MDレコーダー,え,事前申し込み制 小型（概ね25センチ×8.5センチ以内）のものは、小型電子機器 回収ボックス へ,"['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html', 'https://www.city.kitakyushu.lg.jp/kankyou/00800208.html']",粗大ごみ
LED蛍光灯,え,,,家庭ごみ
LD,え,,,家庭ごみ
LDプレーヤー,え,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
LPガスボンベ,え,（注）販売店に相談　（参考）「 市が収集しないもの 」,['https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html'],市が収集しないもの
LPレコード,え,,,家庭ごみ
エレキギター,え,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
鉛筆削り,え,,,家庭ごみ
オイル類（食用のものを除く）,お,（注）専門の処理業者に依頼,,市が収集しないもの
オイル缶（中身のないもの）,お,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
オイルヒーター,お,（注）専門の処理業者に依頼,,市が収集しないもの
応接セット,お,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
オーディオラック,お,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
オートバイ,お,・購入店に相談 ・「二輪車リサイクルシステム」（バイクメーカーの取り組み） ・二輪車リサイクルコールセンター：050-3000-0727に相談（注）自転車やバイク部品のみは対象外,,市が収集しないもの
オーブン,お,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
オーブンレンジ,お,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
オーブントースター,お,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
桶（おけ）,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
おたま,お,小物金属 回収ボックス へ、金属製以外のものは、家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
おはじき,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
おひつ,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
汚物入れ,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
おぼん,お,金属製のものは、小物金属 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
おまる,お,指定袋に入らない大きさのものは、粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
おむつ,お,汚物を取り除いて,,家庭ごみ
おもちゃ類,お,指定袋に入らない大きさのものは、粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
折込みチラシ（新聞）,お,,,古紙
オルガン,お,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
オルゴール,お,,,家庭ごみ
おろしがね（おろし器）,お,小物金属 回収ボックス へ、金属製以外のものは、家庭ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],小物金属
おわん,お,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
温水洗浄機能付便座,お,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
温度計（水銀温度計を除く）,お,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ 水銀温度計は区役所・出張所の水銀体温計などの回収ボックスへ,,家庭ごみ
温風ヒーター,お,事前申し込み制,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],粗大ごみ
体温計（水銀体温計を除く）,た,電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ 水銀体温計は区役所・出張所の水銀体温計 回収ボックス へ,"['/contents/00800208.html', '/contents/00800208.html']",家庭ごみ
