品名,備考,出し方,備考_links,section
アンテナ（テレビ用以外のもの）,指定袋に入らない大きさのものは粗大ごみ,家庭ごみ,,あ
アンプ,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ
衣装ケース,事前申し込み制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い
いす,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い
板ガラス,新聞紙などに包んで 指定袋に入らない大きさのものは粗大ごみ,家庭ごみ,,い
板（金属製）,小物金属 回収ボックス へ 30センチを超えるものは粗大ごみ,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],い
板（金属製以外）,指定袋に入らない大きさのものは粗大ごみ,家庭ごみ,,い
一輪車,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い
一升びん,できるだけ販売店へ,かん・びん,,い
一斗缶,中身を使い切って,家庭ごみ,,い
井戸ポンプ（家庭用）,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い
犬小屋,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],い
イヤホン,小型電子機器 回収ボックス へ,小型電子機器,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],い
衣類,古着 回収ボックス へ,古着,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],い
衣類乾燥機（ドラム式）,（注）販売店などに引き取りを依頼,市が収集しないもの,,い
入れ歯,,家庭ごみ,,い
インクカートリッジ,できるだけ販売店へ（市役所・区役所にも回収箱があります）,家庭ごみ,,い
インスタントめんの袋,,プラスチック,,い
ウインドウファン（送風機）,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],う
植木棚,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],う
植木の枝,（参考）「 緑のリサイクル 」,家庭ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0043.html'],う
植木ばさみ,小物金属 回収ボックス,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],う
植木鉢,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,う
ウォーターサーバー用ボトル（販売店等の引取がない場合）,プラマークがついてるものはプラスチック PETマークがついてるものはペットボトル,右記の通り,,う
うちわ,,家庭ごみ,,う
腕時計,小型電子機器 回収ボックス へ,小型電子機器,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],う
乳母車（ベビーカー）,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],う
梅酒のびん,,かん・びん,,う
エアークッション（梱包材）,,プラスチック,,え
エアコン,（注）販売店などに引き取りを依頼,市が収集しないもの,,え
映写機,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],え
絵の具のチューブ（金属製）,中身を使い切って　小物金属 回収ボックス へ,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],え
絵の具のチューブ（プラ製）,中身を使い切って,プラスチック,,え
MD,,家庭ごみ,,え
MDレコーダー,事前申し込み制 小型（概ね25センチ×8.5センチ以内）のものは、小型電子機器 回収ボックス へ,粗大ごみ,"['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html', 'https://www.city.kitakyushu.lg.jp/kankyou/00800208.html']",え
LED蛍光灯,,家庭ごみ,,え
LD,,家庭ごみ,,え
LDプレーヤー,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],え
LPガスボンベ,（注）販売店に相談　（参考）「 市が収集しないもの 」,市が収集しないもの,['https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html'],え
LPレコード,,家庭ごみ,,え
エレキギター,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],え
鉛筆削り,,家庭ごみ,,え
オイル類（食用のものを除く）,（注）専門の処理業者に依頼,市が収集しないもの,,お
オイル缶（中身のないもの）,指定袋に入らない大きさのものは粗大ごみ,家庭ごみ,,お
オイルヒーター,（注）専門の処理業者に依頼,市が収集しないもの,,お
応接セット,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お
オーディオラック,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お
オートバイ,・購入店に相談 ・「二輪車リサイクルシステム」（バイクメーカーの取り組み） ・二輪車リサイクルコールセンター：050-3000-0727に相談（注）自転車やバイク部品のみは対象外,市が収集しないもの,,お
オーブン,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お
オーブンレンジ,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お
オーブントースター,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お
桶（おけ）,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,お
おたま,小物金属 回収ボックス へ、金属製以外のものは、家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],お
おはじき,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,お
おひつ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,お
汚物入れ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,お
おぼん,金属製のものは、小物金属 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,お
おまる,指定袋に入らない大きさのものは、粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,お
おむつ,汚物を取り除いて,家庭ごみ,,お
おもちゃ類,指定袋に入らない大きさのものは、粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,お
折込みチラシ（新聞）,,古紙,,お
オルガン,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お
オルゴール,,家庭ごみ,,お
おろしがね（おろし器）,小物金属 回収ボックス へ、金属製以外のものは、家庭ごみ,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],お
おわん,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,お
温水洗浄機能付便座,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お
温度計（水銀温度計を除く）,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ 水銀温度計は区役所・出張所の水銀体温計などの回収ボックスへ,家庭ごみ,,お
温風ヒーター,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],お
